event_date,event_type,scope,severity,expected_channel,note,source
2010-05-14,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2010 (May),
2010-05-15,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2010 (May),
2010-05-16,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2010 (May),
2010-05-17,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2010 (May),
2010-05-18,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2010 (May),
2010-05-19,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2010 (May),
2010-05-20,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2010 (May),
2010-05-21,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2010 (May),
2010-05-22,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2010 (May),
2010-05-23,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2010 (May),
2010-05-24,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2010 (May),
2010-05-25,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2010 (May),
2010-05-26,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2010 (May),
2010-05-27,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2010 (May),
2010-05-28,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2010 (May),
2010-05-29,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2010 (May),
2010-05-30,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2010 (May),
2010-05-31,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2010 (May),
2010-08-15,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2010 (Aug),
2010-08-16,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2010 (Aug),
2010-08-17,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2010 (Aug),
2010-08-18,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2010 (Aug),
2010-08-19,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2010 (Aug),
2010-08-20,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2010 (Aug),
2010-08-21,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2010 (Aug),
2010-08-22,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2010 (Aug),
2010-08-23,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2010 (Aug),
2010-08-24,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2010 (Aug),
2010-08-25,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2010 (Aug),
2010-08-26,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2010 (Aug),
2010-08-27,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2010 (Aug),
2010-08-28,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2010 (Aug),
2010-08-29,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2010 (Aug),
2010-08-30,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2010 (Aug),
2010-08-31,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2010 (Aug),
2010-09-15,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2010 (Sep),
2010-09-16,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2010 (Sep),
2010-09-17,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2010 (Sep),
2010-09-18,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2010 (Sep),
2010-09-19,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2010 (Sep),
2010-09-20,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2010 (Sep),
2010-09-21,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2010 (Sep),
2010-09-22,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2010 (Sep),
2010-09-23,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2010 (Sep),
2010-09-24,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2010 (Sep),
2010-09-25,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2010 (Sep),
2010-09-26,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2010 (Sep),
2010-09-27,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2010 (Sep),
2010-09-28,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2010 (Sep),
2010-09-29,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2010 (Sep),
2010-09-30,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2010 (Sep),
2010-10-01,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2010 (Oct early),
2010-10-02,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2010 (Oct early),
2010-10-03,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2010 (Oct early),
2010-10-04,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2010 (Oct early),
2010-10-05,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2010 (Oct early),
2010-11-01,policy_rate_global,global,high,safe_haven_buy,Bầu cử Mỹ và cuộc họp Fed sẽ quyết định giá vàng - Tuổi Trẻ,google_news_rss:unknown
2010-11-10,gold_price_move,domestic_vietnam,medium,safe_haven_buy,Thống đốc Nguyễn Văn Giàu: “Giá vàng sẽ hạ nhiệt” - Đài Phát thanh và Truyền hình TP.HCM,google_news_rss:unknown
2011-01-01,eurozone_crisis,global,high,safe_haven_buy,Eurozone sovereign debt crisis,
2011-01-20,tet_proximity,domestic_vietnam,low,premium_spike,Tết proximity (Tết 2011: 2011-02-03),
2011-01-21,tet_proximity,domestic_vietnam,low,premium_spike,Tết proximity (Tết 2011: 2011-02-03),
2011-01-22,tet_proximity,domestic_vietnam,low,premium_spike,Tết proximity (Tết 2011: 2011-02-03),
2011-01-23,tet_proximity,domestic_vietnam,low,premium_spike,Tết proximity (Tết 2011: 2011-02-03),
2011-01-24,tet_proximity,domestic_vietnam,low,premium_spike,Tết proximity (Tết 2011: 2011-02-03),
2011-01-25,tet_proximity,domestic_vietnam,medium,premium_spike,Tết proximity (Tết 2011: 2011-02-03),
2011-01-26,tet_proximity,domestic_vietnam,medium,premium_spike,Tết proximity (Tết 2011: 2011-02-03),
2011-01-27,tet_proximity,domestic_vietnam,medium,premium_spike,Tết proximity (Tết 2011: 2011-02-03),
2011-01-28,tet_proximity,domestic_vietnam,medium,premium_spike,Tết proximity (Tết 2011: 2011-02-03),
2011-01-29,tet_proximity,domestic_vietnam,high,premium_spike,Tết proximity (Tết 2011: 2011-02-03),
2011-01-30,tet_proximity,domestic_vietnam,high,premium_spike,Tết proximity (Tết 2011: 2011-02-03),
2011-01-31,tet_proximity,domestic_vietnam,high,premium_spike,Tết proximity (Tết 2011: 2011-02-03),
2011-02-01,tet_proximity,domestic_vietnam,high,premium_spike,Tết proximity (Tết 2011: 2011-02-03),
2011-02-01,eurozone_crisis,global,high,safe_haven_buy,Eurozone sovereign debt crisis,
2011-02-02,tet_proximity,domestic_vietnam,high,premium_spike,Tết proximity (Tết 2011: 2011-02-03),
2011-02-03,tet_proximity,domestic_vietnam,high,premium_spike,Tết proximity (Tết 2011: 2011-02-03),
2011-02-07,than_tai,domestic_vietnam,high,premium_spike,Thần Tài day (ngày vía Thần Tài) - peak gold shopping 2011,
2011-02-10,policy_import,domestic_vietnam,high,safe_haven_buy,Vietnam gold import restrictions tightened - domestic premium spiked,
2011-03-01,eurozone_crisis,global,high,safe_haven_buy,Eurozone sovereign debt crisis,
2011-04-01,eurozone_crisis,global,high,safe_haven_buy,Eurozone sovereign debt crisis,
2011-04-15,wedding_season,domestic_vietnam,medium,premium_spike,Wedding season spring window 2011 (Apr),
2011-04-16,wedding_season,domestic_vietnam,medium,premium_spike,Wedding season spring window 2011 (Apr),
2011-04-17,wedding_season,domestic_vietnam,medium,premium_spike,Wedding season spring window 2011 (Apr),
2011-04-18,wedding_season,domestic_vietnam,medium,premium_spike,Wedding season spring window 2011 (Apr),
2011-04-19,wedding_season,domestic_vietnam,medium,premium_spike,Wedding season spring window 2011 (Apr),
2011-04-20,wedding_season,domestic_vietnam,medium,premium_spike,Wedding season spring window 2011 (Apr),
2011-04-21,wedding_season,domestic_vietnam,medium,premium_spike,Wedding season spring window 2011 (Apr),
2011-04-22,wedding_season,domestic_vietnam,medium,premium_spike,Wedding season spring window 2011 (Apr),
2011-04-23,wedding_season,domestic_vietnam,medium,premium_spike,Wedding season spring window 2011 (Apr),
2011-04-24,wedding_season,domestic_vietnam,medium,premium_spike,Wedding season spring window 2011 (Apr),
2011-04-25,wedding_season,domestic_vietnam,medium,premium_spike,Wedding season spring window 2011 (Apr),
2011-04-26,wedding_season,domestic_vietnam,medium,premium_spike,Wedding season spring window 2011 (Apr),
2011-04-27,wedding_season,domestic_vietnam,medium,premium_spike,Wedding season spring window 2011 (Apr),
2011-04-28,wedding_season,domestic_vietnam,medium,premium_spike,Wedding season spring window 2011 (Apr),
2011-04-29,wedding_season,domestic_vietnam,medium,premium_spike,Wedding season spring window 2011 (Apr),
2011-04-30,wedding_season,domestic_vietnam,medium,premium_spike,Wedding season spring window 2011 (Apr),
2011-05-01,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2011 (May),
2011-05-01,eurozone_crisis,global,high,safe_haven_buy,Eurozone sovereign debt crisis,
2011-05-02,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2011 (May),
2011-05-03,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2011 (May),
2011-05-04,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2011 (May),
2011-05-05,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2011 (May),
2011-05-06,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2011 (May),
2011-05-07,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2011 (May),
2011-05-08,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2011 (May),
2011-05-09,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2011 (May),
2011-05-10,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2011 (May),
2011-05-11,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2011 (May),
2011-05-12,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2011 (May),
2011-05-13,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2011 (May),
2011-05-14,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2011 (May),
2011-05-15,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2011 (May),
2011-05-16,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2011 (May),
2011-05-17,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2011 (May),
2011-05-18,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2011 (May),
2011-05-19,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2011 (May),
2011-05-20,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2011 (May),
2011-05-21,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2011 (May),
2011-05-22,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2011 (May),
2011-05-23,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2011 (May),
2011-05-24,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2011 (May),
2011-05-25,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2011 (May),
2011-05-26,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2011 (May),
2011-05-27,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2011 (May),
2011-05-28,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2011 (May),
2011-05-29,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2011 (May),
2011-05-30,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2011 (May),
2011-05-31,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2011 (May),
2011-06-01,eurozone_crisis,global,high,safe_haven_buy,Eurozone sovereign debt crisis,
2011-07-01,eurozone_crisis,global,high,safe_haven_buy,Eurozone sovereign debt crisis,
2011-07-06,financial_crisis,global,high,safe_haven_buy,"Eurozone debt crisis, gold all-time high in USD, safe haven demand peak",
2011-08-01,eurozone_crisis,global,high,safe_haven_buy,Eurozone sovereign debt crisis,
2011-08-15,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2011 (Aug),
2011-08-16,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2011 (Aug),
2011-08-17,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2011 (Aug),
2011-08-18,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2011 (Aug),
2011-08-19,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2011 (Aug),
2011-08-20,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2011 (Aug),
2011-08-21,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2011 (Aug),
2011-08-22,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2011 (Aug),
2011-08-23,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2011 (Aug),
2011-08-24,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2011 (Aug),
2011-08-25,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2011 (Aug),
2011-08-26,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2011 (Aug),
2011-08-27,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2011 (Aug),
2011-08-28,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2011 (Aug),
2011-08-29,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2011 (Aug),
2011-08-30,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2011 (Aug),
2011-08-31,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2011 (Aug),
2011-09-01,eurozone_crisis,global,high,safe_haven_buy,Eurozone sovereign debt crisis,
2011-09-15,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2011 (Sep),
2011-09-16,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2011 (Sep),
2011-09-17,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2011 (Sep),
2011-09-18,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2011 (Sep),
2011-09-19,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2011 (Sep),
2011-09-20,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2011 (Sep),
2011-09-21,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2011 (Sep),
2011-09-22,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2011 (Sep),
2011-09-23,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2011 (Sep),
2011-09-24,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2011 (Sep),
2011-09-25,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2011 (Sep),
2011-09-26,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2011 (Sep),
2011-09-27,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2011 (Sep),
2011-09-28,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2011 (Sep),
2011-09-29,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2011 (Sep),
2011-09-30,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2011 (Sep),
2011-10-01,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2011 (Oct early),
2011-10-01,eurozone_crisis,global,high,safe_haven_buy,Eurozone sovereign debt crisis,
2011-10-02,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2011 (Oct early),
2011-10-03,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2011 (Oct early),
2011-10-04,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2011 (Oct early),
2011-10-05,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2011 (Oct early),
2011-11-01,eurozone_crisis,global,high,safe_haven_buy,Eurozone sovereign debt crisis,
2011-12-01,eurozone_crisis,global,high,safe_haven_buy,Eurozone sovereign debt crisis,
2012-01-09,tet_proximity,domestic_vietnam,low,premium_spike,Tết proximity (Tết 2012: 2012-01-23),
2012-01-10,tet_proximity,domestic_vietnam,low,premium_spike,Tết proximity (Tết 2012: 2012-01-23),
2012-01-11,tet_proximity,domestic_vietnam,low,premium_spike,Tết proximity (Tết 2012: 2012-01-23),
2012-01-12,tet_proximity,domestic_vietnam,low,premium_spike,Tết proximity (Tết 2012: 2012-01-23),
2012-01-13,tet_proximity,domestic_vietnam,low,premium_spike,Tết proximity (Tết 2012: 2012-01-23),
2012-01-14,tet_proximity,domestic_vietnam,medium,premium_spike,Tết proximity (Tết 2012: 2012-01-23),
2012-01-15,tet_proximity,domestic_vietnam,medium,premium_spike,Tết proximity (Tết 2012: 2012-01-23),
2012-01-16,tet_proximity,domestic_vietnam,medium,premium_spike,Tết proximity (Tết 2012: 2012-01-23),
2012-01-17,tet_proximity,domestic_vietnam,medium,premium_spike,Tết proximity (Tết 2012: 2012-01-23),
2012-01-18,tet_proximity,domestic_vietnam,high,premium_spike,Tết proximity (Tết 2012: 2012-01-23),
2012-01-19,tet_proximity,domestic_vietnam,high,premium_spike,Tết proximity (Tết 2012: 2012-01-23),
2012-01-20,tet_proximity,domestic_vietnam,high,premium_spike,Tết proximity (Tết 2012: 2012-01-23),
2012-01-21,tet_proximity,domestic_vietnam,high,premium_spike,Tết proximity (Tết 2012: 2012-01-23),
2012-01-22,tet_proximity,domestic_vietnam,high,premium_spike,Tết proximity (Tết 2012: 2012-01-23),
2012-01-23,tet_proximity,domestic_vietnam,high,premium_spike,Tết proximity (Tết 2012: 2012-01-23),
2012-01-27,than_tai,domestic_vietnam,high,premium_spike,Thần Tài day (ngày vía Thần Tài) - peak gold shopping 2012,
2012-04-01,policy_inspection,domestic_vietnam,medium,safe_haven_buy,Vietnam cracked down on gold smuggling along Cambodia border,
2012-04-15,wedding_season,domestic_vietnam,medium,premium_spike,Wedding season spring window 2012 (Apr),
2012-04-16,wedding_season,domestic_vietnam,medium,premium_spike,Wedding season spring window 2012 (Apr),
2012-04-17,wedding_season,domestic_vietnam,medium,premium_spike,Wedding season spring window 2012 (Apr),
2012-04-18,wedding_season,domestic_vietnam,medium,premium_spike,Wedding season spring window 2012 (Apr),
2012-04-19,wedding_season,domestic_vietnam,medium,premium_spike,Wedding season spring window 2012 (Apr),
2012-04-20,wedding_season,domestic_vietnam,medium,premium_spike,Wedding season spring window 2012 (Apr),
2012-04-21,wedding_season,domestic_vietnam,medium,premium_spike,Wedding season spring window 2012 (Apr),
2012-04-22,wedding_season,domestic_vietnam,medium,premium_spike,Wedding season spring window 2012 (Apr),
2012-04-23,wedding_season,domestic_vietnam,medium,premium_spike,Wedding season spring window 2012 (Apr),
2012-04-24,wedding_season,domestic_vietnam,medium,premium_spike,Wedding season spring window 2012 (Apr),
2012-04-25,wedding_season,domestic_vietnam,medium,premium_spike,Wedding season spring window 2012 (Apr),
2012-04-26,wedding_season,domestic_vietnam,medium,premium_spike,Wedding season spring window 2012 (Apr),
2012-04-27,wedding_season,domestic_vietnam,medium,premium_spike,Wedding season spring window 2012 (Apr),
2012-04-28,wedding_season,domestic_vietnam,medium,premium_spike,Wedding season spring window 2012 (Apr),
2012-04-29,wedding_season,domestic_vietnam,medium,premium_spike,Wedding season spring window 2012 (Apr),
2012-04-30,wedding_season,domestic_vietnam,medium,premium_spike,Wedding season spring window 2012 (Apr),
2012-05-01,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2012 (May),
2012-05-02,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2012 (May),
2012-05-03,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2012 (May),
2012-05-04,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2012 (May),
2012-05-05,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2012 (May),
2012-05-06,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2012 (May),
2012-05-07,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2012 (May),
2012-05-08,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2012 (May),
2012-05-09,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2012 (May),
2012-05-10,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2012 (May),
2012-05-11,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2012 (May),
2012-05-12,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2012 (May),
2012-05-13,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2012 (May),
2012-05-14,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2012 (May),
2012-05-15,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2012 (May),
2012-05-16,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2012 (May),
2012-05-17,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2012 (May),
2012-05-18,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2012 (May),
2012-05-19,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2012 (May),
2012-05-20,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2012 (May),
2012-05-21,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2012 (May),
2012-05-22,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2012 (May),
2012-05-23,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2012 (May),
2012-05-24,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2012 (May),
2012-05-25,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2012 (May),
2012-05-25,news_other,global,low,unknown,Vàng Rồng Thăng Long rẻ hơn vàng SJC 1 triệu đồng/lượng - m.nhipcaudautu.vn,google_news_rss:unknown
2012-05-26,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2012 (May),
2012-05-27,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2012 (May),
2012-05-28,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2012 (May),
2012-05-29,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2012 (May),
2012-05-30,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2012 (May),
2012-05-31,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2012 (May),
2012-06-25,news_other,global,low,unknown,Malaysia phát hành tiền xu bằng vàng - m.nhipcaudautu.vn,google_news_rss:unknown
2012-08-15,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2012 (Aug),
2012-08-16,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2012 (Aug),
2012-08-17,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2012 (Aug),
2012-08-18,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2012 (Aug),
2012-08-19,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2012 (Aug),
2012-08-20,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2012 (Aug),
2012-08-21,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2012 (Aug),
2012-08-22,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2012 (Aug),
2012-08-23,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2012 (Aug),
2012-08-24,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2012 (Aug),
2012-08-25,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2012 (Aug),
2012-08-26,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2012 (Aug),
2012-08-27,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2012 (Aug),
2012-08-28,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2012 (Aug),
2012-08-29,wedding_season,domestic_vietnam,high,premium_spike,Wedding season autumn window 2012 (Aug),
