event_date,event_type,scope,severity,expected_channel,note,source_url,effective_from,effective_to,source,publisher,headline,body_text,query_used,relevance_score
2012-12-10,gold_price_move,domestic_vietnam,medium,safe_haven_buy,Giá vàng Ấn Độ lên cao nhất 1 tuần - m.nhipcaudautu.vn,https://news.google.com/rss/articles/CBMihwFBVV95cUxPZ3p0Tk5lYlphdDVyQU9UOEllbE1pQ3IzaHJZRnVqSVF1RzBiM2NFWm5ZN2RWU1VISXRFTzUxY1h3R3FYOURyYnJ1dGRUQmdBZzBzS1BPSko2M3pfdkg3NXNESUZ6WkVrMHdKSWFaMUZPSHdjTkdjS3c1aVdIcDZpTGdrQ1JTd2c?oc=5,2012-12-10,2012-12-10,google_news_rss:unknown,,Giá vàng Ấn Độ lên cao nhất 1 tuần - m.nhipcaudautu.vn,,site:nhipcaudautu.vn vàng,2
2012-12-26,news_other,global,low,unknown,Giới siêu giàu Tây Âu xếp hàng mua vàng miếng bẻ cong - m.nhipcaudautu.vn,https://news.google.com/rss/articles/CBMingFBVV95cUxQaEd2RzViVG44WjNUbTlHT2lFWU5vR2xzWEV5MnU3XzVzVXdwVElEOVdxZ0tyOTJFUDgxUTlJaUx2M3pJSmpSWEtXQV9IdlgzNGFlcjh2eDJOVjY4WHZ1eUdCSllKd0poS0NsRWdCR3pYZWdTLUhjNnpZUXp5ZElyQlYyeTI5Z3lzX0d6ZUhscTZ1YzFYbXBWYWNjakRDUQ?oc=5,2012-12-26,2012-12-26,google_news_rss:unknown,,Giới siêu giàu Tây Âu xếp hàng mua vàng miếng bẻ cong - m.nhipcaudautu.vn,,site:nhipcaudautu.vn vàng,2
2013-01-12,news_other,global,low,unknown,Câu chuyện về tờ 100.000 USD - m.nhipcaudautu.vn,https://news.google.com/rss/articles/CBMie0FVX3lxTE5CMzNxVndrc1VjdUpwdzZ2ZXcyTVN3NkZWNVdZdGxrMmZLUFdCMVVhR2FWVkRobnJJNkN4RGlxRERFdkhNVXFzTWJUeEJPYjF1TG0ycHZQNTZpRHBpLTlLbHNEa0FEcTBRdWsxRzNoOVdGaUFubFg2bzF1Zw?oc=5,2013-01-12,2013-01-12,google_news_rss:unknown,,Câu chuyện về tờ 100.000 USD - m.nhipcaudautu.vn,"TẠP CHÍ CỦA HỘI LIÊN LẠC VỚI NGƯỜI VIỆT NAM Ở NƯỚC NGOÀI

Đặt tạp chí
  English
KINH DOANH CÔNG NGHỆ DOANH NHÂN CHUYÊN ĐỀ TÀI CHÍNH BẤT ĐỘNG SẢN PHONG CÁCH SỐNG THẾ GIỚI KIỀU BÀO",site:nhipcaudautu.vn vàng,0
2013-01-18,news_other,global,low,unknown,Nhà tài phiệt JP Morgan từng cứu Mỹ thoát vỡ nợ - m.nhipcaudautu.vn,https://news.google.com/rss/articles/CBMilgFBVV95cUxPcDZJNzQtN1BtbjE0S3cyWjhjYk0tRTFHcGxzWVV0VDl1ZUNOQjVZVTNZNGpPdUdkN2Mzb3JsLVpFR21nUlZJellFTmNwUUdoTy1OQlRtOTMzZGJhdGs5RkFsaFQzUGZLWjBFNE9RQ1FDTTcybE96WWZmN3VFQ2RMc3dGYVZ6ZE1jWXc2U0ZxdXhrc1FyYUE?oc=5,2013-01-18,2013-01-18,google_news_rss:unknown,,Nhà tài phiệt JP Morgan từng cứu Mỹ thoát vỡ nợ - m.nhipcaudautu.vn,,site:nhipcaudautu.vn vàng,0
2013-02-15,news_other,global,low,unknown,Điểm mặt các thương hiệu vàng miếng đã biến mất - m.nhipcaudautu.vn,https://news.google.com/rss/articles/CBMimAFBVV95cUxPc0IxQXp4RG53aEcxXzc3VUQxOEtQTWhNeHBScHZuWGNXbFdfTEhZamRlTm5uaGhzTlphblRoZkJWTENjN2VVTjFrVGJ3cktWa2NZMnBoc01TZ0d6MGk5d1d4ZUZzWWkydllBOUEwMWFTSENtZmplZ2hpTmRqWEJXRUZjM1F2OHBVRkI3NDRFWXlHblg4eGt4SQ?oc=5,2013-02-15,2013-02-15,google_news_rss:unknown,,Điểm mặt các thương hiệu vàng miếng đã biến mất - m.nhipcaudautu.vn,"TẠP CHÍ CỦA HỘI LIÊN LẠC VỚI NGƯỜI VIỆT NAM Ở NƯỚC NGOÀI

Đặt tạp chí
  English
KINH DOANH CÔNG NGHỆ DOANH NHÂN CHUYÊN ĐỀ TÀI CHÍNH BẤT ĐỘNG SẢN PHONG CÁCH SỐNG THẾ GIỚI KIỀU BÀO",site:nhipcaudautu.vn vàng,2
2013-03-08,news_other,global,low,unknown,Người dân khó bán vàng miếng bao bì cũ - m.nhipcaudautu.vn,https://news.google.com/rss/articles/CBMijAFBVV95cUxNTU94ZVB1QWN1NjlUVHk4Vld3cG81cmdDakFVcnhPYWc3b2xUMFlySUUxc0xwaEpTcnVDeVFpUzVtODlMMDBzZkp5Q2tsbTNsc1JlZ3VVakcyTmZMOER3WlhlNVd1RTJScmJsSlh4elNqbi1jdGZHQ0pCSUZJNHM4QUI4aWJfejBtTUxGWA?oc=5,2013-03-08,2013-03-08,google_news_rss:unknown,,Người dân khó bán vàng miếng bao bì cũ - m.nhipcaudautu.vn,"TẠP CHÍ CỦA HỘI LIÊN LẠC VỚI NGƯỜI VIỆT NAM Ở NƯỚC NGOÀI

Đặt tạp chí
  English
KINH DOANH CÔNG NGHỆ DOANH NHÂN CHUYÊN ĐỀ TÀI CHÍNH BẤT ĐỘNG SẢN PHONG CÁCH SỐNG THẾ GIỚI KIỀU BÀO",site:nhipcaudautu.vn vàng,2
2013-03-21,news_other,global,low,unknown,Nhu cầu vàng Ấn Độ có thể lên 960 tấn năm nay - m.nhipcaudautu.vn,https://news.google.com/rss/articles/CBMilgFBVV95cUxOQ3h3VEFBVENscDdvOXBzNmJIQlRyOGVucXhkbGZZWEJKSzRFYmphZHlBUUVURTY5Wms3d2EtUjlPYTZyRnE4cVRTM2xDWjJvQ2ppZU5BSUF4Q3NHeEo4UDF4Q0ozajMyVWpLdXpBeTJGQzNySlRmVU03YWxpLUU2QjhnVk9YV2ZmUmQweTN0Yl92TTVFVnc?oc=5,2013-03-21,2013-03-21,google_news_rss:unknown,,Nhu cầu vàng Ấn Độ có thể lên 960 tấn năm nay - m.nhipcaudautu.vn,"TẠP CHÍ CỦA HỘI LIÊN LẠC VỚI NGƯỜI VIỆT NAM Ở NƯỚC NGOÀI

Đặt tạp chí
  English
KINH DOANH CÔNG NGHỆ DOANH NHÂN CHUYÊN ĐỀ TÀI CHÍNH BẤT ĐỘNG SẢN PHONG CÁCH SỐNG THẾ GIỚI KIỀU BÀO",site:nhipcaudautu.vn vàng,2
2013-04-25,news_other,global,low,unknown,Jim Rickards: Đây là thời điểm khác biệt giữa vàng trên giấy tờ và vàng vật chất - m.nhipcaudautu.vn,https://news.google.com/rss/articles/CBMiwwFBVV95cUxPMHF3UFhMeTJvWHcxSElYdE9LZzhvc1JmYllrSllWRjdObHZ5ZE1BLXZwZE1Kd0l1WkRTWVJOVnQySG16OEdNRWhaaDZDUkY3T2VQMk5NT050azZEb004WGY2dlZNQzZZOF9XRUlWd3poRHNyaUNJUFVad1I2MlJDTlNrZ2lJUlZwdllGTldHUHVnYW56SG8ySWZQV3ZBTV9XNGxFaVBCV2t1OGI0ZXFlaGVDQy02VE04alE0LTBMUkR,2013-04-25,2013-04-25,google_news_rss:unknown,,Jim Rickards: Đây là thời điểm khác biệt giữa vàng trên giấy tờ và vàng vật chất - m.nhipcaudautu.vn,,site:nhipcaudautu.vn vàng,2
2013-05-02,news_other,global,low,unknown,"Phát hiện dòng dầu khí lớn ở Kình Ngư Vàng, Bà Rịa-Vũng Tàu - m.nhipcaudautu.vn",https://news.google.com/rss/articles/CBMipwFBVV95cUxNdENLd1VjMDhHdlRrblVBeUlzRUcxQ2xaUHFPUjdUZ2lEY0ZqN0VQWHAzSC1wSU02S1hhTzdLbU1LVnBQOUJrVjdESjVPT0hldFpJR1RPTlRZSGRrTEpUR0haTEpvNTZoNE1Xd2NsamMxQzN3LUNISkVXRkNKX21OOTVFQTd4YldRQXlkdXpGYjU0ZkJHMFBuQUtxU25PVHgxZEs2dnppbw?oc=5,2013-05-02,2013-05-02,google_news_rss:unknown,,"Phát hiện dòng dầu khí lớn ở Kình Ngư Vàng, Bà Rịa-Vũng Tàu - m.nhipcaudautu.vn",,site:nhipcaudautu.vn vàng,2
2013-05-27,news_other,global,low,unknown,LHP Cannes 2013: Phim về đồng tính nữ đoạt giải Cành cọ vàng - m.nhipcaudautu.vn,https://news.google.com/rss/articles/CBMivgFBVV95cUxNUVIzd1ZibXR2UlRheGI2bmg5aWg4Rlp6TlRFNU1hVVVUa3d6U2k1S2VDRlhDLTQwUjNObXM4TUNzdi0tS2Iwc09oeEZGdnFBbWxKenpIUXpTUWlzS3Q0RHdSWERfZDY5czBlS0RjbV9HbjNxNlpYQ0hzdUprYThDRFhKUm1NSG9raUpOZmtISXpQdTZ5bGxhVC1iMHNnTEk1SHpMLXhVN21DVllGT1pUMFhoTWJ6dmc3cl9kY0Jn?oc,2013-05-27,2013-05-27,google_news_rss:unknown,,LHP Cannes 2013: Phim về đồng tính nữ đoạt giải Cành cọ vàng - m.nhipcaudautu.vn,,site:nhipcaudautu.vn vàng,2
2013-05-30,news_other,global,low,unknown,Chỉ dư 100 lượng vàng phiên đấu thầu ngày 30/5 - m.nhipcaudautu.vn,https://news.google.com/rss/articles/CBMilgFBVV95cUxOQXUyZjBfYW0wdHd1ZnBHSnhORXF5VE8tMUpmLVh2QXJqTHRhNFZOX21iQTh3QTk1ZDMzbTMyZG14VjVQLXhFN2ZsZXhDdUFtVzNUN1hPZG1kMlRZWlJaY3pjVVJ6UjlhSWh6TW8xMnFnTlVocUFleE5YUlpFNnp4cnZtS2IxbnVwUXZLU1pOcTRpbjdPNWc?oc=5,2013-05-30,2013-05-30,google_news_rss:unknown,,Chỉ dư 100 lượng vàng phiên đấu thầu ngày 30/5 - m.nhipcaudautu.vn,,site:nhipcaudautu.vn vàng,2
2013-06-19,news_other,global,low,unknown,Hơn 150 ha cao su Quảng Trị bị bệnh vàng rụng lá - m.nhipcaudautu.vn,https://news.google.com/rss/articles/CBMimgFBVV95cUxPQWNQblc2ZXZ6cXkzTC1rM01WanRfN0pPaHpidGV0Qi1kRWlHbWg2Q0p2b1dYTHEwNGJuQkJmdWNEQmlUcTZlS05JY3hwbnhfcUZXRk9YeTBqNzdNdktEY0dGcjZvUkVsTmpadmdfNHdXRkdfT1JXYTZrNUd0SURnV2pTZU0yT3l0YmtPaDNMQXRQODNqSDNEY2V3?oc=5,2013-06-19,2013-06-19,google_news_rss:unknown,,Hơn 150 ha cao su Quảng Trị bị bệnh vàng rụng lá - m.nhipcaudautu.vn,,site:nhipcaudautu.vn vàng,2
2013-07-23,news_other,global,low,unknown,8 điều thú vị về em bé Hoàng gia Anh - m.nhipcaudautu.vn,https://news.google.com/rss/articles/CBMihwFBVV95cUxOczZscHpBdENGMnUxcUdRamZST2V2TTF1YTZremhiTlJqR29hRkdaQWN1SDVZc1d2X19FN0pGTUNxczhjV2I0T2czVm5OTU1LN2psQUlKTlhreUpYZE01dzNqcFJZZWxYSXJMSHdPOU1oa1l1dFhjdG9DbUkxTzA3ZlFDcDNfc0E?oc=5,2013-07-23,2013-07-23,google_news_rss:unknown,,8 điều thú vị về em bé Hoàng gia Anh - m.nhipcaudautu.vn,,site:nhipcaudautu.vn vàng,0
2013-08-12,gold_price_move,domestic_vietnam,medium,safe_haven_buy,Chênh lệch giá vàng Ấn Độ so với thế giới lên kỷ lục - m.nhipcaudautu.vn,https://news.google.com/rss/articles/CBMinwFBVV95cUxNQlhOWXFrYzhJWkY0SkNCcWNMV3J3Tmo1TXhHM09lT1RRbFNlRkZOOGxuOTZWSGpVWkstbHpkQm0tZURTdDNuWnVXTC1WV25fb1pkNHRmb2R1T05xWGZFV09EN2lmV2VZQ1VKLU50ajQ0Z3JzOHVubVBkdkMzaDFfVmdTN1Vsc3dwVU1jclFveVk5anFiQ1FCemx1UUlVRUE?oc=5,2013-08-12,2013-08-12,google_news_rss:unknown,,Chênh lệch giá vàng Ấn Độ so với thế giới lên kỷ lục - m.nhipcaudautu.vn,"TẠP CHÍ CỦA HỘI LIÊN LẠC VỚI NGƯỜI VIỆT NAM Ở NƯỚC NGOÀI

Đặt tạp chí
  English
KINH DOANH CÔNG NGHỆ DOANH NHÂN CHUYÊN ĐỀ TÀI CHÍNH BẤT ĐỘNG SẢN PHONG CÁCH SỐNG THẾ GIỚI KIỀU BÀO",site:nhipcaudautu.vn vàng,2
2013-11-25,news_other,global,low,unknown,Hà Nội chưa thu hồi được 2 khu đất vàng - m.nhipcaudautu.vn,https://news.google.com/rss/articles/CBMikAFBVV95cUxPSVdkLWdOaDlTVEVyUDRLdzUzZFhNRW11SU1vRXJmaVFQM2puaThFQVh0aUNxaW9ZaW52dGlWdGhTVWZZRzVnZjNXemliVmlIRjZ6eGFwbHFHZktxanpRWVRFN3ZFUnQ0Zi03T01Ma2JsRFJienhZSjVVTDFTY2ozRUo0b1JJYVVXTThxZEUyWkI?oc=5,2013-11-25,2013-11-25,google_news_rss:unknown,,Hà Nội chưa thu hồi được 2 khu đất vàng - m.nhipcaudautu.vn,"TẠP CHÍ CỦA HỘI LIÊN LẠC VỚI NGƯỜI VIỆT NAM Ở NƯỚC NGOÀI

Đặt tạp chí
  English
KINH DOANH CÔNG NGHỆ DOANH NHÂN CHUYÊN ĐỀ TÀI CHÍNH BẤT ĐỘNG SẢN PHONG CÁCH SỐNG THẾ GIỚI KIỀU BÀO",site:nhipcaudautu.vn vàng,2
2014-05-07,news_other,global,low,unknown,Tiêu thụ vàng của Trung Quốc tăng trong quý I - m.nhipcaudautu.vn,https://news.google.com/rss/articles/CBMilgFBVV95cUxQV3dKNUQyejVYbDVlRktrRzh1VTFUMXpIRkZwckwxenJVNEhRbTJyNmVkSGgwbXlPZ2JNbmJJOFVhb2FuUzItbEx0YzZTdmVmTjdNaGdpa1FvZ0NVaHRLUks0ci1TTHpiSXM2OUx2WkJtWGM2YlBSbVBjdERSU0dYWW1RVmZmNWhKVDhuekxRYzFYRlJZR3c?oc=5,2014-05-07,2014-05-07,google_news_rss:unknown,,Tiêu thụ vàng của Trung Quốc tăng trong quý I - m.nhipcaudautu.vn,"TẠP CHÍ CỦA HỘI LIÊN LẠC VỚI NGƯỜI VIỆT NAM Ở NƯỚC NGOÀI

Đặt tạp chí
  English
KINH DOANH CÔNG NGHỆ DOANH NHÂN CHUYÊN ĐỀ TÀI CHÍNH BẤT ĐỘNG SẢN PHONG CÁCH SỐNG THẾ GIỚI KIỀU BÀO",site:nhipcaudautu.vn vàng,2
2014-06-17,macro_shock,domestic_vietnam,medium,inflation_hedge,Vàng sản xuất Trung Quốc đến từ đâu? - m.nhipcaudautu.vn,https://news.google.com/rss/articles/CBMiiAFBVV95cUxQUnk5UUR0czVmSzR4Z19WYkNrQkp5Um1oVlY1MGpjYnlXRzVGNzA5SDA5UFA3WXFZT1dxNndzS0J3ODBYMlNZRi1DMGU3S0I2NzJQY0k1MzBpZS1DQW1qQllBV0lOTHp5OUpTYUFWcndYdE9MdlNMRGk5MGQzMXp1bE9pQnFMNE91?oc=5,2014-06-17,2014-06-17,google_news_rss:unknown,,Vàng sản xuất Trung Quốc đến từ đâu? - m.nhipcaudautu.vn,,site:nhipcaudautu.vn vàng,2
